# variables	time_frequency	indicator_1	indicator_2	indicator_3	indicator_4	indicator_5	indicator_6	dataset_id	index_node	data_node	
sic	mon	green	green	Yellow	Green	Yellow	Light gray	obs4MIPs.NCEI.PMSIC.SH.sic.mon.v20160401|esgdata.gfdl.noaa.gov	esgdata.gfdl.noaa.gov	esgdata.gfdl.noaa.gov
albisccp	mon	green	green	Yellow	Yellow	Orange	Light gray	obs4MIPs.PCMDI.CFMIP-Obs-ISCCP.albisccp.mon.v20130503|vesg.ipsl.polytechnique.fr	esgf-node.ipsl.upmc.fr	vesg.ipsl.polytechnique.fr
albisccpunweighted	mon	green	green	Yellow	Orange	Orange	Light gray	obs4MIPs.PCMDI.CFMIP-Obs-ISCCP.albisccpunweighted.mon.v20130503|vesg.ipsl.polytechnique.fr	esgf-node.ipsl.upmc.fr	vesg.ipsl.polytechnique.fr
clisccp	mon	green	green	Yellow	Green	Yellow	Light gray	obs4MIPs.PCMDI.CFMIP-Obs-ISCCP.clisccp.mon.v20130503|vesg.ipsl.polytechnique.fr	esgf-node.ipsl.upmc.fr	vesg.ipsl.polytechnique.fr
cltisccp	mon	green	green	Yellow	Green	Yellow	Light gray	obs4MIPs.PCMDI.CFMIP-Obs-ISCCP.cltisccp.mon.v20130503|vesg.ipsl.polytechnique.fr	esgf-node.ipsl.upmc.fr	vesg.ipsl.polytechnique.fr
cttisccp	mon	green	green	Yellow	Green	Yellow	Light gray	obs4MIPs.PCMDI.CFMIP-Obs-ISCCP.cttisccp.mon.v20130503|vesg.ipsl.polytechnique.fr	esgf-node.ipsl.upmc.fr	vesg.ipsl.polytechnique.fr
cttisccpunweighted	mon	green	green	Yellow	Orange	Orange	Light gray	obs4MIPs.PCMDI.CFMIP-Obs-ISCCP.cttisccpunweighted.mon.v20130503|vesg.ipsl.polytechnique.fr	esgf-node.ipsl.upmc.fr	vesg.ipsl.polytechnique.fr
pctisccp	mon	green	green	Yellow	Green	Yellow	Light gray	obs4MIPs.PCMDI.CFMIP-Obs-ISCCP.pctisccp.mon.v20130503|vesg.ipsl.polytechnique.fr	esgf-node.ipsl.upmc.fr	vesg.ipsl.polytechnique.fr
pctisccpunweighted	mon	green	green	Yellow	Orange	Orange	Light gray	obs4MIPs.PCMDI.CFMIP-Obs-ISCCP.pctisccpunweighted.mon.v20130503|vesg.ipsl.polytechnique.fr	esgf-node.ipsl.upmc.fr	vesg.ipsl.polytechnique.fr
tos,tosNobs,tosStderr	mon	green	green	Green	Green	Yellow	Light gray	obs4mips.REMSS.AMSRE.tos.mon.v20111031|esgf-data.jpl.nasa.gov	esgf-node.jpl.nasa.gov	esgf-data.jpl.nasa.gov
prw	mon	green	green	Green	Green	Yellow	Light gray	obs4mips.RSS.SSMI.prw.mon.v20160523|esgf-data.jpl.nasa.gov	esgf-node.jpl.nasa.gov	esgf-data.jpl.nasa.gov
sfcWind	mon	green	green	Yellow	Green	Yellow	Light gray	obs4mips.RSS.SSMI.sfcWind.mon.v20160523|esgf-data.jpl.nasa.gov	esgf-node.jpl.nasa.gov	esgf-data.jpl.nasa.gov
crs,lat,lon,od550aer,time,time_bnds	mon	green	green	Yellow	Orange	Yellow	Light gray	obs4mips.SU.ATSR2-AATSR.od550aer.mon.v20160922|eridanus.eoc.dlr.de	esgf-data.dkrz.de	eridanus.eoc.dlr.de
tos	mon	green	green	Green	Green	Yellow	Light gray	obs4MIPs.UOE.ARC-SST-1-1.mon.v1|esgf-data1.ceda.ac.uk	esgf-index1.ceda.ac.uk	esgf-data1.ceda.ac.uk
clMISR	mon	green	green	Yellow	Orange	Yellow	Light gray	obs4MIPs.UW.CFMIP-Obs-MISR.clMISR.mon.v20131113|vesg.ipsl.polytechnique.fr	esgf-node.ipsl.upmc.fr	vesg.ipsl.polytechnique.fr
samplesMISR	mon	green	green	Green	Orange	Orange	Light gray	obs4MIPs.UW.CFMIP-Obs-MISR.samplesMISR.mon.v20131113|vesg.ipsl.polytechnique.fr	esgf-node.ipsl.upmc.fr	vesg.ipsl.polytechnique.fr
